기준일,브랜드,매장명,폐기유형,폐기사유,중분류명,품목코드,품목명,폐기수량,단가,폐기금액
2026-07-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,100004,리치식빵,4,8400,33600
2026-07-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102335,호밀잡곡식빵,4,6500,26000
2026-07-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,8,6900,55200
2026-07-03,밀도,밀도 광교점,폐기,유통기한초과(폐기),스콘,102977,리코타사워크림스콘,1,4200,4200
2026-07-03,밀도,밀도 강남점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,4,5200,20800
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,3,4900,14700
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,3,4600,13800
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103286,에그마요 소금빵,4,5200,20800
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),식빵,102966,달밤식빵,3,8900,26700
2026-07-03,밀도,밀도 고양점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-03,밀도,밀도 경기점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-03,밀도,밀도 잠실점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,2,3800,7600
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,101957,초코허니러스크,1,5200,5200
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),페이스트리,103768,애플시나몬크림치즈데니쉬,1,4900,4900
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,1,4600,4600
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,100003,담백식빵,7,7800,54600
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,100004,리치식빵,3,8400,25200
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,102322,리치식빵Half,2,4800,9600
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,1,3900,3900
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),미니식빵,103663,밤완두바브카,1,7200,7200
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),미니식빵,103764,누텔라바브카,2,7800,15600
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),미니식빵,103824,리치 모카빵,1,6900,6900
2026-07-03,밀도,밀도 압구정현대점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),1,5500,5500
2026-07-03,밀도,밀도 뉴코아강남점,폐기,파손(폐기),세트,103825,브런치 세트  토마토바질 치킨,-1,12900,-12900
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,100010,큐브커스터드,3,4700,14100
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,102976,앙버터허니러스크,2,6200,12400
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,1,4200,4200
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,2,5200,10400
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103027,블루베리잼 잠봉뵈르,1,8900,8900
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103805,아이올리베이컨토마토샌드위치,1,8900,8900
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103806,바질치폴레닭가슴살샌드위치,1,8900,8900
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),식빵,102684,튼튼고양식빵,4,6900,27600
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),식빵,103644,더잡곡식빵리뉴얼,1,12800,12800
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102983,촉촉감자치아바타,1,4800,4800
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),건강빵,102993,프룻로데브,1,7800,7800
2026-07-03,밀도,밀도 뉴코아강남점,폐기,유통기한초과(폐기),소금빵,102844,the부드러운소금빵,2,3600,7200
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,8,4700,37600
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103766,누텔라로쉐큐브식빵,1,5200,5200
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,7,5200,36400
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),페이스트리,103769,고창고구마데니쉬,4,4600,18400
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),샌드위치,103807,잠봉에멘탈크로와상샌드위치,1,7900,7900
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,2,5500,11000
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),건강빵,103575,단호박고구마통밀(whole),4,5500,22000
2026-07-03,밀도,밀도 롯데노원점,폐기,유통기한초과(폐기),소금빵,102778,앙버터소금빵,1,4800,4800
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,2,3800,7600
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),간식빵,102587,밀도맘모스,5,6200,31000
2026-07-04,밀도,밀도 성수점,폐기,유통기한초과(폐기),건강빵,103574,무화과오트통밀100,1,5500,5500
2026-07-04,밀도,밀도 정자점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,5,4700,23500
2026-07-04,밀도,밀도 정자점,폐기,유통기한초과(폐기),식빵,103814,얼룩 고양 식빵,2,7500,15000
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,101327,큐브소보로,1,3800,3800
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,101451,허니러스크,2,4700,9400
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,101858,밀도단팥빵,2,3800,7600
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103704,크림치즈포테이토,2,4200,8400
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),간식빵,103828,상하소시지 갈릭러스크,1,5200,5200
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),시그니처샌드,102272,땅콩크림샌드,6,5800,34800
2026-07-04,밀도,밀도 한티점,폐기,유통기한초과(폐기),식빵,102338,통팥앙식빵,2,3900,7800
